FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,Abruzzo,Italy,2020-07-09 04:34:23,42.35122196,13.39843823,3310,464,2701,145,"Abruzzo, Italy",252.36737370194732,14.018126888217523
,,Acre,Brazil,2020-07-09 04:34:23,-9.0238,-70.812,15167,404,8604,6159,"Acre, Brazil",1719.7412507724493,2.663677721368761
,,Adygea Republic,Russia,2020-07-09 04:34:23,44.6939006,40.1520421,2167,14,1601,552,"Adygea Republic, Russia",477.96972049689435,0.6460544531610521
,,Aguascalientes,Mexico,2020-07-09 04:34:23,21.8853,-102.2916,2731,175,2207,349,"Aguascalientes, Mexico",190.36200845511232,6.407909190772611
,,Aichi,Japan,2020-07-09 04:34:23,35.035551,137.211621,527,34,480,13,"Aichi, Japan",6.978063061828419,6.451612903225806
,,Akita,Japan,2020-07-09 04:34:23,39.748678999999996,140.408228,16,0,16,0,"Akita, Japan",1.6554749661144967,0.0
,,Alagoas,Brazil,2020-07-09 04:34:23,-9.5713,-36.782,42322,1213,34309,6800,"Alagoas, Brazil",1268.129241192956,2.8661216388639477
,,Alberta,Canada,2020-07-09 04:34:23,53.9333,-116.5765,8482,158,7716,608,"Alberta, Canada",192.1984906005829,1.8627682150436218
,,Altai Krai,Russia,2020-07-09 04:34:23,52.6932243,82.69314240000001,4897,49,3496,1352,"Altai Krai, Russia",208.3758850762528,1.0006126199714112
,,Altai Republic,Russia,2020-07-09 04:34:23,50.7114101,86.8572186,936,1,449,486,"Altai Republic, Russia",429.23375354828653,0.10683760683760683
,,Amapa,Brazil,2020-07-09 04:34:23,0.902,-52.003,30524,462,19372,10690,"Amapa, Brazil",3609.185426571806,1.5135630978901848
,,Amazonas,Brazil,2020-07-09 04:34:23,-3.4168,-65.8561,80082,2967,66256,10859,"Amazonas, Brazil",1932.20233475052,3.7049524237656404
,,Amazonas,Colombia,2020-07-09 04:34:23,-1.4429,-71.5724,2391,99,2089,203,"Amazonas, Colombia",3121.858230294168,4.1405269761606025
,,Amazonas,Peru,2020-07-09 04:34:23,-5.077253,-78.050172,3083,90,0,2993,"Amazonas, Peru",722.3523898781633,2.9192345118391176
,,Amur Oblast,Russia,2020-07-09 04:34:23,52.8032368,128.437295,1944,20,1002,922,"Amur Oblast, Russia",243.4796549201928,1.02880658436214
,,Ancash,Peru,2020-07-09 04:34:23,-9.407125,-77.67179499999997,9071,527,0,8544,"Ancash, Peru",768.3381331526343,5.8097232940138905
,,Andalusia,Spain,2020-07-09 04:34:23,37.5443,-4.7278,13303,1434,10671,1198,"Andalusia, Spain",157.8540487848869,10.779523415770878
,,Andaman and Nicobar Islands,India,2020-07-09 04:34:23,11.225999,92.96817800000001,149,0,77,72,"Andaman and Nicobar Islands, India",35.72833040792641,0.0
,,Andhra Pradesh,India,2020-07-09 04:34:23,15.9129,79.74,22259,264,11101,10894,"Andhra Pradesh, India",41.29424654214253,1.1860371085852914
,,Anguilla,United Kingdom,2020-07-09 04:34:23,18.2206,-63.0686,3,0,3,0,"Anguilla, United Kingdom",19.99733368884149,0.0
,,Anhui,China,2020-07-09 04:34:23,31.8257,117.2264,991,6,985,0,"Anhui, China",1.5670461733080334,0.6054490413723511
,,Antioquia,Colombia,2020-07-09 04:34:23,7.1986,-75.3412,6773,62,2361,4350,"Antioquia, Colombia",105.71081902551262,0.9153993798907426
,,Antofagasta,Chile,2020-07-09 04:34:23,-23.6509,-70.3975,10825,197,8782,1846,"Antofagasta, Chile",1781.7932823512756,1.8198614318706698
,,Aomori,Japan,2020-07-09 04:34:23,40.781541,140.828896,30,1,26,3,"Aomori, Japan",2.406987967467151,3.3333333333333335
,,Apurimac,Peru,2020-07-09 04:34:23,-14.027713,-72.975378,603,21,0,582,"Apurimac, Peru",140.00464360343628,3.482587064676617
,,Aragon,Spain,2020-07-09 04:34:23,41.5976,-0.9057,6578,913,3772,1893,"Aragon, Spain",498.1122017043949,13.879598662207357
,,Arauca,Colombia,2020-07-09 04:34:23,7.0762,-70.7105,121,0,8,113,"Arauca, Colombia",46.15255517328187,0.0
,,Araucania,Chile,2020-07-09 04:34:23,-38.9489,-72.3311,3482,46,3147,289,"Araucania, Chile",363.7602065974109,1.321079839172889
,,Arequipa,Peru,2020-07-09 04:34:23,-15.843523999999999,-72.475539,8144,343,0,7801,"Arequipa, Peru",543.8760518231602,4.211689587426326
,,Arica y Parinacota,Chile,2020-07-09 04:34:23,-18.594,-69.4785,2179,24,1673,482,"Arica y Parinacota, Chile",963.869278270255,1.101422670949977
,,Arkhangelsk Oblast,Russia,2020-07-09 04:34:23,63.5589686,43.1221646,6534,81,3518,2935,"Arkhangelsk Oblast, Russia",565.7005717610309,1.2396694214876034
,,Aruba,Netherlands,2020-07-09 04:34:23,12.5211,-69.9683,105,3,98,4,"Aruba, Netherlands",98.34591536631511,2.857142857142857
,,Arunachal Pradesh,India,2020-07-09 04:34:23,27.768456,96.384277,287,2,109,176,"Arunachal Pradesh, India",18.27492362100737,0.6968641114982579
,,Assam,India,2020-07-09 04:34:23,26.357149,92.83044100000001,13336,16,8729,4591,"Assam, India",37.453268720266244,0.11997600479904019
,,Astrakhan Oblast,Russia,2020-07-09 04:34:23,47.1878186,47.608851,3773,35,2471,1267,"Astrakhan Oblast, Russia",370.8057088158001,0.9276437847866419
,,Asturias,Spain,2020-07-09 04:34:23,43.3614,-5.8593,2436,334,1063,1039,"Asturias, Spain",238.30836280393854,13.711001642036125
,,Atacama,Chile,2020-07-09 04:34:23,-27.5661,-70.0503,1357,7,1015,335,"Atacama, Chile",469.6411761448585,0.5158437730287398
,,Atlantico,Colombia,2020-07-09 04:34:23,10.6966,-74.8741,28732,1670,10476,16586,"Atlantico, Colombia",1133.1811224298633,5.812334679103438
,,Australian Capital Territory,Australia,2020-07-09 04:34:23,-35.4735,149.0124,112,3,105,4,"Australian Capital Territory, Australia",26.162111656155105,2.6785714285714284
,,Ayacucho,Peru,2020-07-09 04:34:23,-14.091648000000001,-74.08344,2077,32,0,2045,"Ayacucho, Peru",310.83507931756964,1.5406836783822822
,,Aysen,Chile,2020-07-09 04:34:23,-45.9864,-73.7669,49,0,38,11,"Aysen, Chile",47.499951530661704,0.0
,,Azad Jammu and Kashmir,Pakistan,2020-07-09 04:34:23,34.027401,73.947253,1459,40,828,591,"Azad Jammu and Kashmir, Pakistan",36.065957938045656,2.7416038382453736
,,Baden-Wurttemberg,Germany,2020-07-09 04:34:23,48.6616,9.3501,35952,1838,33575,539,"Baden-Wurttemberg, Germany",324.78334903559164,5.112372051624388
,,Bahia,Brazil,2020-07-09 04:34:23,-12.5797,-41.7007,95536,2277,66550,26709,"Bahia, Brazil",642.3424252057276,2.383394741249372
